CG3358 CG1550
EBI-160257 CG5731
EBI-157400 BIN1
CG18259 DOR
CG7173 STCK
MYO10A EBI-128409
CYCC L(3)S147910
CG8965 CG9883
RUX CG14798
EBI-206481 CG8907
CG31038 CG31012
CG6833 CG3918
ARU CG11906
CG5798 RHO1
SIP1 CG14442
CG13085 CG6856
CG3353 MLF
CG7430 TRXR-1
PAK CG7182
EBI-207836 EBI-207795
EBI-193297 EBI-152228
RAP2L CG17374
PGLYM87 CG10750
EBI-458558 CG4365
CG13084 CG5466
CG1707 CG9624
OR45A FUCTB
R CG13197
CG9511 EBI-118333
FRQ2 LANB1
TLL LECTIN-29CA
CG7172 CG10512
CG17666 OPA
CG13627 CG12237
CG7206 CG9170
TTK CG13030
EBI-175261 CG11896
EIF2B-ALPHA EBI-112502
EBI-162306 CG15634
PRM CG4617
CYP6G2 CG11327
BSK CG31012
SPN-F CG11164
CG10365 EBI-177531
USF EF1ALPHA48D
EBI-159623 ROGDI
LACE HSC70-4
CG12796 PROS29
C15 TANGO6
CG1104 CG5862
EBI-86660 USP
CG2046 CG15631
EBI-102597 STAM
CG32635 EBI-186953
P53 CG4049
SU(H) PASHA
KEAP1 SMB
RUX DIMM
CG5111 CDLC2
CG9099 SALM
PTC CG14317
L(1)G0004 PP2B-14D
EBI-160257 EBI-151120
EBI-176690 CG1135
MLE FU12
GLO LARK
EBI-442216 MTOR
SUCB EBI-74966
CG7911 CG14671
ARU CG12316
CG9173 CG7414
EBI-160257 GEL
CG1104 GP150
CG15219 PK17E
GUS CG11166
RALA RGL
PROS26.4 PROSALPHA6T
PORIN CG9624
PAK CG9772
CG7430 SDHB
CI IA2
CDK5 CDK4
CG13840 CG13063
CG14578 CG17666
EBI-133084 VM26AB
EBI-83112 RPS7
CG6905 INV
RAP2L EBI-86723
EBI-203651 EBI-207836
LK6 RPL5
CG9510 DHD
CG9796 HSP23
CG4835 CG33980
MRPL51 CG9740
CDK7 NOA36
RAB6 BICD
DLG1 CG9572
CG14235 CYT-C-P
CG14850 CREBA
SKPA DOA
CG14634 CG12470
CSN4 CG5026
CG11327 EBI-198486
CG3501 CG32406
CG10681 GRIP128
CG9173 FCP3C
CYCH SKL
CG31550 CG3075
RTNL1 EBI-100575
EBI-208011 RPS3A
SOB CG6543
CG13277 CG9837
CG15658 CG10889
CG13032 CG12470
EBI-152886 ICE
CG4325 CG7386
EBI-162921 RPS3
L(1)G0136 CG31373
EBI-183080 RPL4
CG18806 MRPL44
CG32158 EBI-177531
NACP60E CG18292
CG17778 CG8065
EBI-193297 CG16884
CUL-2 DWG
EBI-196831 CG10650
CG14545 CG2199
S6KII CG18301
EBI-216413 SISA
SRC64B SPASE22-23
CG1143 CG5890
MER EBI-458558
CG9776 CG14126
EBI-160257 CG15861
CG8965 EBI-95855
HSP60B CG3107
PKA-C1 SLO
L(2)03709 TRXR-1
CG2540 CRK
DLG1 DLGAP1
CG6543 CG3221
STAR1 CHRO
CG4691 CG8942
DNAPOL-DELTA CG14816
DAP CG15043
SEC10 PATR-1
ELFLESS TJ
SAS-4 CTBP
EBI-113258 CG9426
CG5708 REV7
EBI-201372 CG18731
DNAPRIM CG5968
EBI-107965 ALPHA-MAN-II
CG31145 DLC90F
CG17768 SLIP1
CG10154 FCP3C
CG11489 CG5791
PTC PPN
FER1HCH FS(2)KET
CG13138 EBI-180984
CG32795 PEBIII
CG17778 BICD
CG16890 ES2
EBI-168087 CG11164
RAS RAS
DOCK EBI-143999
ZORMIN TPS1
EMB CG14135
CG10032 EBI-196947
CG6569 CG3995
CG13928 CG2199
CG13526 XBP1
CG13022 EBI-190547
EBI-75338 CG6921
CG32626 EFF
MNB CG40127
OFS RPS25
OKR CG31198
EBI-125339 EBI-114906
HRS CG5524
CG7835 YL
CG17855 CG4730
CPR35B CG17211
CG14044 CG13603
SGT SPN5
SEC5 EBI-200752
GM130 CG9293
CG12304 AATS-ASP
CG18806 CG6398
EBI-155032 EBI-101163
MCM2 MCM3
CG14204 CG5857
CG15185 AP-1GAMMA
FD59A CHB
CORN INSC
HALE CG5708
CPR76BA CG3557
RAC1 PAR-6
CG1120 NEK2
MNT CG7564
CG6933 EBI-196732
CG11486 CG7386
CG17086 CG32486
CG11327 CG13588
CG11275 GSB
CG5168 EBI-110745
EBI-128409 CG1893
MER ATPSYN-BETA
CG6569 EBI-167768
CG3295 EBI-213208
HSP23 E2F2
CG10103 CG14639
CG3081 MES2
PTC CG12299
CG7835 EBI-82680
UBX NMO
SRY-ALPHA L(3)L1231
CG11327 CG12079
STY TMS1
CG14182 SGT
CG9951 CG6856
OPA CG10664
KRN RHO-4
RTGEF CG4617
SINA SINA
CG15646 CG10990
BSG25D CG4328
CG5089 CG13458
EBI-154606 SU(VAR)3-7
PROS25 CG12010
BSK CG12877
NHP2 EF2B
SRY-ALPHA EBI-192791
EBI-186934 RPL29
CG4045 CG10721
EBI-218559 EIF-2BETA
CG17265 CG12985
CG14546 RDX
RAPS CG17801
SCP2 VHAPPA1-1
CG32016 TAF7
IF TEN-M
SEC5 RPL19
STNB STNA
TBPH EBI-189006
SIP1 CG10479
CG12521 CG1324
EXO70 HR4
CG8446 TRAF1
CG14089 GRP
RPL19 AATS-TYR
CG5359 CG32581
CG13843 CG12433
CKS85A ENA
CG15529 EBI-132998
EBI-208662 KLC
P53 CG4496
CG9173 CG5445
CG13890 ENO
TRUS CG8319
TBPH CG8907
UBCD2 CG10086
AND CG1678
EBI-195262 CG3386
CG15136 EBI-92615
CG10478 CG3876
CKIIALPHA HLHM5
CG9511 CG8863
CG14864 CG12470
EBI-458558 HEPH
CYP9F2 CG7017
CG3402 GLCAT-P
CG11881 NUFIP
CG5325 ZETATRY
CG12272 CG13458
L(3)S147910 RCA1
EBI-442216 KIS
CG10341 NUP58
CG13843 CG15220
CG41099 CG9083
HP1E CDC6
CG14044 EBI-136347
ATG1 KLAR
EBI-111518 TRAF3
EBI-1437765 PROS26.4
CG18217 CG30008
CG9632 CG11314
CG1894 SIMA
CG3099 CG17162
CG12586 CG10263
DAC EYA
YIN JRA
CG15737 HN
PIF1A CG8301
MAEL EBI-190547
DOA DOA
ASF1 RPL14
CG7945 CG7945
STUMPS STUMPS
CYCK HDC
EMB EBI-128385
EBI-117175 RIC8A
PROS26.4 ACT57B
CG10918 CG11982
CG14410 CG3557
NAU CI
CG11265 CG15829
SKPA CG11963
CG12065 CG5703
CG11555 POLE2
CG15470 FUR2
RAC1 CG30115
CG1792 CG1792
RBP4 BHR
BRU-3 CG14254
CG14216 BIP1
CG11802 UBC84D
SNAP SYX13
EBI-102987 GTP-BP
CG14506 CPA
CG4511 MED22
RPS28B CG1314
CG5478 EBI-105534
CG32046 EBI-167768
VPS20 CG11164
CG10418 CHI
CG7357 CG9797
CG9170 CG8605
CG7236 EPS-15
CG1986 AWD
CG7928 SOL
GRK GFAT1
CG11456 TPNC41C
EBI-159623 EBI-126758
EBI-114261 CG14210
SHC TOR
CG13458 MLC-C
BUN CG11486
CG1999 MUS205
CYT-C-P PORIN
RCA1 BETAGGT-II
EBI-530681 FAX
CL EBI-208766
CCN EBI-194571
MIP130 EBI-184456
ARI-2 YP3
E5 EBI-104196
CG32158 LANB2
EBI-194749 CG12470
CG8997 CG10979
CG7264 HLH4C
EBI-198400 CG6707
RBP9 CHIP
FCP3C CG41099
CG9099 TAF10B
Z BAP170
EBI-178662 EBI-140830
CG9511 DF31
CG6891 CYT-C-P
CG16728 CG1137
CG5933 CG13030
RB EBI-174453
REGUCALCIN GRAF
CG10694 CG8436
MER CG10147
PER NCC69
EBI-161439 CG13458
EBI-215615 CG11505
CG15580 CG3773
ORC6 PNUT
EBI-100575 CA-P60A
CUL-2 CG18273
EBI-83112 CG8745
TRBL MUS304
ALIEN CG15923
MRE11 BHR
CG13838 CG12589
CG10289 PTP61F
EBI-88852 ART8
CG33980 CG31626
PSR GNU
GNF1 LIM3
EBI-92440 IDH
CG2017 CG3508
CG11672 SSH
ES2 EBI-168948
CG13022 SIMA
CG11327 SET
EBI-88363 CG4554
CSN4 EBI-110745
CG9040 DEI
CG12877 BYN
TEKTIN-A CG16719
CG3294 CG2199
EBI-196039 EIF2B-EPSILON
CG14246 SURF4
CG12521 CG6733
CG6486 CDC2RK
CG12313 EBI-178922
CG34376 CG4328
KLC CG31646
EBI-163776 CG5468
SAV HPO
ADK3 MED22
CG9977 RPLP1
EBI-88763 CG15031
CG4858 CG14104
GSC CG9568
MUS304 CG14111
CG4367 EBI-148445
TAF10B TAF4
EBI-134407 CHI
EBI-109052 CG7447
CG10154 CG9425
CG15370 TSP
UBX MI-2
CG14374 EBI-128334
CG11505 CG17018
MED4 EBI-128341
LAP1 CG13623
CG4335 CPA
EBI-114261 ALAS
CG14708 RPS10B
PAT1 CG4328
TFIIA-L TAF13
EBI-132258 SLAM
ROLS EBI-93840
EBI-121129 EBI-184637
CG11266 FNE
RAS CG8152
CG6509 EBI-115136
CG3918 SRM160
CG14071 CG1249
CG15545 RPL23
CG32767 STUMPS
CG13030 IMPE1
AP-1SIGMA AP-1GAMMA
CG9330 TRN
CDC37 CG17508
PCS CG32086
SGT YP2
ART2 ART6
MUS309 CG5924
CG11265 RPL13A
ARU CG4229
CG3918 CG5808
TANGO6 EBI-252103
EXO70 R
RCA1 CG4335
RBP9 CG12692
CG32772 FAA
CG13139 CG6910
BAP60 NUP98
MLC-C EBI-116955
CG15440 EBI-121822
CG8206 DYN-P25
CG3884 CG5053
SPLY L(2)03709
EBI-83408 CG13083
CDC2 CG4335
CG9170 PP1-87B
CG6996 CG12361
DOK CG13928
ESN P115
CG9684 CG9684
CSN3 C15
CG6745 HP1B
CG17265 EBI-103524
CG3056 EBI-121063
RUX CENG1A
CCP84AD RL
CG1104 ALPHATUB84B
CSN1A DX
SPI SOCS36E
DAP CG11486
EBI-160257 PP4-19C
CG11586 SIRT6
LPR1 EBI-197099
CG12432 PRM
ACTR13E DRONGO
CG10026 CG30194
CG10032 EBI-196973
RPS3 CG4060
CG18616 LQF
SYX16 SOXN
CG14995 CG14995
CG31550 EBI-199389
EBI-127547 ATPSYN-BETA
CG3078 CG13458
TRUS CG12708
CG4073 CG12404
CG3632 CG8368
PTC POF
CG14853 ATPSYN-BETA
CG31211 CG9346
CI PI3K92E
MNB CG15676
QKR58E-1 CG3342
CG3081 CG11293
CDC37 S6K
MRPS18A EBI-168287
RPR KARYBETA3
INVADOLYSIN MASK
INAD NINAE
EBI-133084 CG11120
CG31090 CG13966
KR-H2 CG12034
CG9836 MAPK-AK2
ART6 CG7386
L(1)G0004 CG2972
H2.0 CG10650
EBI-177531 POLY
CG13949 CG13907
CG14641 MKG-P
CG10663 PAX
RTNL1 CKIIALPHA-I3
CG15676 RPS10B
MED27 FANCL
CG5001 DMT
SC35 SIP1
CG3225 PEN
EBI-90118 CG17666
CG12519 CG14282
PTC RDGA
CP38 CG7017
TEKTIN-A MBS
EXP6 VM32E
EBI-96930 VHASFD
CG1314 CG6770
CG14089 SEMA-2A
EBI-188413 RNRS
CG4617 CG14110
L(1)G0020 CG13966
OBP99D CG10979
GT CG18619
CG14546 COMR
CG10289 CG10654
CG3281 CG8159
CG4335 CG4335
SAK CG13558
MCM5 CG11486
RHOGAP68F EBI-97544
AEF1 CG17181
E(SPL) HLHM7
AKAP200 CG31958
UBC84D DYN-P25
EBI-138516 EBI-150616
CG14543 N
APC2 CG14815
EBI-131770 EBI-84026
CG6353 DNAJ-1
CG4116 GRO
GM130 CG6073
NUP133 RPL14
CG31999 PKA-R2
CG3995 EBI-185330
BR CG31740
CG15754 MRPL35
RANGAP OVO
SAK UNC-13-4A
INVADOLYSIN EBI-82680
ABL ENA
HP1E EBI-161439
CG16719 312
CG8368 EBI-184213
CACTIN PNN
CG31482 RAD23
CG14816 CDC2C
CG4165 RPS3
MRPS30 CG13476
RAC2 SPRI
TAMO MBO
RHO GRK
CG14145 SNAPIN
CG10694 SPF45
H2.0 CG15529
CG17086 PIX
BAP60 TUP
EBI-201372 CG18619
SH3PX1 MLC2
HBN CG10032
LMPT EBI-84827
EBI-153383 CG18217
TSP EBI-213425
CG8191 CG17364
EBI-119138 CG7949
SAV AATS-ASN
CI FUCTC
HLHMGAMMA HLHM7
EBI-177649 CG13066
SIRT2 PHDP
CG11539 MSL-1
TAF2 TAF11
CG3198 CG3198
INAC EBI-105703
CG16717 CG11652
EBI-88363 EBI-134407
CG14145 CG12589
CG11350 CG11382
CG4681 CG6441
AGO TAP42
CI CG7017
EBI-83005 AATS-SER
CG2091 EBI-149983
CG32486 AEF1
CG12304 PUF68
CG3995 GRAU
CG10267 CG10267
AGO SOP
DNAPOL-ALPHA73 CG10650
CG9331 GNU
CG7135 CG32392
CG9911 CATSUP
CG15141 CG17446
HRS DIA
EBI-88589 ACT5C
CG10635 SIP3
CG10943 SMB
CG11581 GAPDH2
SRY-ALPHA EBI-118172
EBI-160257 TH1
CG12679 CG10032
CG8368 PST
COVA RPL9
CG6904 CG7206
INAD CG9411
CG10943 CG15631
FKH MST84DC
SIP1 L(1)G0196
MESK2 GROWL
SAV CG11076
CG31038 CG5642
CG9986 SCYL
CG14224 EBI-91014
CG6443 RPS24
UNC-119 CG6192
CG15634 ZEN
CG9312 CG8942
HPO EBI-206656
CPR67FA2 CG12182
CKIIBETA CG4617
EXO70 CG11906
EBI-129626 CG11820
CG7447 EBI-179816
CG10943 EBI-105703
CG15422 CG12723
PMS2 TRX
HRS L(2)K09022
EBI-285563 EBI-285563
CG12256 CG3689
CG14540 CG16899
EXD CG6454
CG5783 CG11138
CG31036 HLH4C
ATG1 CG17508
CG7371 EBI-185330
CG12256 TCTP
RBP9 EBI-115136
SRC64B QKR58E-1
MBT EBI-170508
CG1324 CG6244
KHC UNC-76
CG8831 CG1681
SPX CG3605
CG14071 TAF11
RAD51D CG13917
L(1)G0136 CG10263
CPR76BB CRP
CG14224 SC2
EBI-196643 RPS15AA
DCO PER
GLYCOGENIN CG9934
A6 CG3032
CG10053 PK17E
MIRA BAZ
MOE CG14967
SPN-F IK2
CG5466 NUCB1
AKT1 CPR64AA
SALA CG7188
CG11327 OSI8
CG6619 MST84DA
HP1E CG10263
EBI-174207 PEN-2
PUF68 CG10694
RBP9 CG10508
CG1135 CG17377
DAP160 CG13838
CG14931 KRZ
CTP EBI-176411
CG4960 L(2)06496
SOX21B CG31140
RPA2 CKS85A
CG13090 CG4617
EBI-87760 CG40127
CG13287 CG4656
P53 CG2926
CG9754 EBI-210979
VHAAC39 CG2219
CG12661 CG4328
SH MUS209
CG14410 FTZ-F1
ARU TANGO2
ADA2B TBP
CG13362 GRP
OATP30B CG3652
RTGEF CG12496
CG2843 CG11266
CG3918 SYX16
EBI-163074 REP4
CG16947 EBI-184456
CG12725 RPS23
CSTF-64 CG15778
TRIM9 EBI-197099
CPR97EB EBI-103820
EBI-466537 ATG1
TAMO WEK
CG18766 BIP2
HALE RPS12
MER RHEA
CG14044 CPR64AD
CG8116 CG14506
BOWL CDC2RK
PNG CG4771
CG11247 CG10300
CG2021 RPN12
CG6617 CG10979
COS TEPIII
EBI-181728 RPL14
CG7375 EBI-127204
EBI-133084 CG18745
CG13124 CG13458
CG15771 EBI-117860
EBI-193297 CBT
FTZ-F1 CG13698
TBPH BHR
CG10298 REC
CG13287 EBI-130802
CG31973 CG14641
SPX FUR2
EPSIN-LIKE CG8507
CG6905 CG4771
CG3225 EBI-193598
TERM CG8292
P53 TUD
CG34401 CG4080
CG12766 SER7
CG30417 AMOS
APT CG15436
CYCK CG14442
EIF4E-7 CG5732
CG14224 PROS54
AGO EBI-194737
CI LYSB
